Gene	Bone Marrow	E14.5-Brain	Cerebellum	Cortex	E14.5-Heart	Heart	Intestine	Kidney	E14.5-Limb	E14.5-Liver	Liver	Lung	Olfactory	E14.5-Placenta	Spleen	Testis	Thymus
ENSMUSG00000042808	0.2274135	0.1361965	0.0496401	0.0676041	0.0252161	0	127.7069	0	0.1572985	0	0.01930305	8.32164	0.0858135	0.340379	0.03362625	0.163291	0.4930125
ENSMUSG00000042804	0.351914	2.670045	2.83743	1.518565	5.349815	1.827485	0.2874565	0.5274035	3.552965	0.4233385	0.08773665	1.234495	3.506135	0.334765	0.365838	0.2740865	0.3977465
ENSMUSG00000042807	0.09683515	1.283375	2.91926	3.269705	1.987125	0.983578	0.1122823	0.4028145	0.8948745	0.185036	0.210469755	1.63965	1.65375	0.629516	0.090033825	0.1884596	0.42675525
ENSMUSG00000004535	18.60655	32.0682	20.5198	16.23075	19.4948	10.609195	63.9112	40.8832	23.2797	24.2658	22.99555	18.8747	25.0406	47.70415	20.24355	55.501	29.14715
ENSMUSG00000042801	0	0	0	0	0	0	0	0	0.0406172	0.0089337	0	0.03237195	0	0	0	0	0
ENSMUSG00000042800	0.4276425	0.306732	0.261959	0.241978	0.4937415	0	1.29154	0.3266695	0.261897	0.469154	0.3192515	0.54923	0	0.10344935	0.050441	81.7554	0.1230625
ENSMUSG00000029836	2.690695	10.92964	3.74219	2.64436	6.260025	1.1643095	1.455935	1.52276	7.22242	8.192705	0.8003675	1.55031	4.314565	2.867565	3.026245	1.157775	6.341165
ENSMUSG00000003206	5.75423	0.8077215	0.11579335	0.4825795	0.11607405	0.0579683	0.262955	0.2871495	0.322315	1.351545	0.2649085	0.3840505	0.134362	0.104164	4.21744	0	1.1574035
ENSMUSG00000003200	13.54995	11.57649	8.091305	4.390695	9.26205	3.06449	8.93417	3.933095	13.1892	7.603995	4.595045	7.18274	8.347965	16.4668	10.859225	14.43185	15.0939
ENSMUSG00000029830	0	0.246183	0.0332559	0.115721	0.1493955	0.072132	0.0466138	2.19011	0.684439	0.0172388	0.0174517	0.176853	0.0664995	0.05915485	0	0.437542	0.03708515
ENSMUSG00000005864	0	0.0479484	0	0.06598085	0.02675015	0	0	0	0.0745419	0	0	0.3769905	0.164002	0.0108955	0.01140935	0	0.06098705
ENSMUSG00000004530	8.707945	29.5611	11.0771	8.40681	17.64295	5.33919	33.74215	10.8056	10.10254	13.06805	2.813315	13.8391	9.233305	18.9283	11.24025	2.85452	9.325845
ENSMUSG00000029831	0	0.1284545	0	0	0.04819705	0	0	0.04556275	0.1331325	0	0	0	0	0	0	0	0.51606
ENSMUSG00000029832	0.16834595	2.43328	1.661005	0.983202	1.835105	0.3605955	0.449136	0.28498	1.673205	0.715154	0.2335745	1.573795	1.494635	0.981677	0.3927635	0.4069275	3.917405
ENSMUSG00000029833	3.38132	19.6248	3.209105	3.116915	8.390525	3.32771	3.31555	4.24563	12.37965	5.60459	3.18321	3.34877	6.979825	3.560185	3.56985	36.1068	9.703245
